Industry type,Industry,ERA species ID,CAAB code,Scientific_name,Common_name,IUCN system,Number,subspecies,EPBC status,Seabird,Migratory listed,Marine listed,Cetacean listed,Bioregional_conservation_status,Type,Report_Table_Num,F Overall Risk,F Overall Risk table reference,Tentative final risk score,Tentative final risk score table reference,Risk Score,Potential_Impact,Potential_Impact_Significance,Consequence Score (1-6),Notes,EIA assessment,"Bookmark name in Tess' ""BASS STRAIT"" folder",Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,939,40041005,Halobaena caerulea,Blue petrel,Terrestrial/Marine,,,Vulnerable,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Medium,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,73,40041007,Macronectes giganteus,Southern giant-petrel,Terrestrial/Marine,,,Endangered,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,981,40041008,Macronectes halli,Northern giant-petrel,Terrestrial/Marine,,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,487,40041009,Pachyptila belcheri,Slender-billed prion,Terrestrial/Marine,,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,488,40041011,Pachyptila desolata,Antarctic prion,Terrestrial/Marine,,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,6091,40041012,Pachyptila salvini,Salvin's prion,Terrestrial/Marine,,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,1003,40041013,Pachyptila turtur,Fairy prion,Terrestrial/Marine,,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,1006,40041017,Pelecanoides urinatrix,Common diving-petrel,Terrestrial/Marine,,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,1041,40041018,Procellaria aequinoctialis,White-chinned petrel,Terrestrial/Marine,,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,494,40041019,Procellaria cinerea,Grey petrel,Terrestrial/Marine,,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,503,40041028,Pterodroma inexpectata,Mottled petrel,Terrestrial/Marine,,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,504,40041029,Pterodroma lessonii,White-headed petrel,Terrestrial/Marine,,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,1046,40041030,Pterodroma leucoptera,Gould's petrel,Terrestrial/Marine,,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,1047,40041031,Pterodroma macroptera,Great-winged petrel,Terrestrial/Marine,,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,1048,40041032,Pterodroma mollis,Soft-plumaged petrel,Terrestrial/Marine,,,Vulnerable,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,1051,40041035,Pterodroma solandri,Providence petrel,Terrestrial/Marine,,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,1055,40041038,Ardenna carneipes,Flesh-footed shearwater,Marine,,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,1056,40041040,Puffinus gavia,Fluttering shearwater,Terrestrial/Marine,,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,1057,40041042,Ardenna grisea,Sooty shearwater,Terrestrial/Marine,,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,1058,40041043,Puffinus huttoni,Hutton's shearwater,Terrestrial/Marine,,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,1059,40041045,Ardenna pacifica,Wedge-tailed shearwater,Terrestrial/Marine,,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,1060,40041047,Ardenna tenuirostris,Short-tailed shearwater,Terrestrial/Marine,,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,1433,40047004,Sula dactylatra,Masked booby,Marine,,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,975,40128014,Larus pacificus,Pacific gull,Terrestrial/Marine,,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,612,41116001,Delphinus delphis,Common dolphin,Marine,,,Listed,Not seabird,Not Listed for Migratory,Not Listed for Marine,Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,902,41116002,Feresa attenuata,Pygmy killer whale,Marine,,,Listed,Not seabird,Not Listed for Migratory,Not Listed for Marine,Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Medium,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,935,41116004,Globicephala melas,Long-finned pilot whale,Marine,,,Listed,Not seabird,Not Listed for Migratory,Not Listed for Marine,Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Medium,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,937,41116005,Grampus griseus,Risso's dolphin,Marine,,,Listed,Not seabird,Not Listed for Migratory,Not Listed for Marine,Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Medium,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,61,41116009,Lissodelphis peronii,Southern right whale dolphin,Marine,,,Listed,Not seabird,Not Listed for Migratory,Not Listed for Marine,Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Medium,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
Fishing,Southern and Eastern Scalefish and Shark Fishery (SESSF,1002,41116011,Orcinus orca,Killer whale,Marine,,,Listed,Not seabird,Listed,Not Listed for Marine,Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Medium,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,Not seabird,Not seabird,Not seabird
